epoch	ER20	F20	LE20	LR20	seld20	ER19	F19	LE19	LR19	seld19
1	0.9224098585120949	0.12149326264634407	53.53477993321154	0.33885575436271254	0.689869071394109	0.7789099891925274	0.3402200763530204	44.56773519930462	0.47891666666666666	0.5518429437644665
2	0.8980678533394189	0.15637231503579943	47.73164414926972	0.4557517899761336	0.6377798872891906	0.6643507796819516	0.45688233582306714	41.63474904175446	0.5782166666666667	0.4651389846338245
3	0.8571428571428571	0.19552819770073313	47.420224597007355	0.5865845931021996	0.5846189396363802	0.5431526941485255	0.5860893597420542	42.526833176759126	0.6208833333333333	0.39311004634711655
4	0.8481667427354328	0.21064200018316687	48.256262544143276	0.5434563604725706	0.5905396823867894	0.5826771653543307	0.5439314966492925	40.25622066214287	0.6057333333333333	0.4141645014292358
5	0.7964399817434962	0.26925507900677187	32.78213224882277	0.5525959367945824	0.5391779807200116	0.5626061448201328	0.5530859662013224	27.61045387579776	0.6239	0.3847528972599773
6	0.7813783660429028	0.29475509319462495	32.29108835771593	0.5863892501083657	0.5199072395151391	0.540064844835572	0.5885774722369117	27.793566718734475	0.6377166666666667	0.36704485248124075
7	0.8676403468735737	0.17835827350575198	46.13152833745401	0.605137963843958	0.5851075945163187	0.5102670989655704	0.6037835459744829	36.97371594420736	0.6605166666666666	0.3628441048369488
8	0.7898980678533394	0.27583811012680204	36.15212590505512	0.6084766371373979	0.5266071161265281	0.5077968195152076	0.6086264804666783	31.49815130538019	0.6489333333333334	0.35630668379738256
9	0.8183477863989046	0.2528675703858184	36.43347688235476	0.6122697254084114	0.5389046738766614	0.5161340126601822	0.612561750176429	31.719848975953337	0.6417666666666667	0.35950674475420685
10	0.7544500228206299	0.3195479485709605	31.784526478664176	0.6584227336008516	0.4882650108270158	0.46101590242396173	0.6588489687292082	27.28311555509647	0.6974	0.3140849494724335
11	0.7422790202342918	0.32638660978011147	33.21746841533275	0.6788644568427961	0.4803923612019193	0.4375482476455149	0.6810287241148963	28.252104703861985	0.6942166666666667	0.3048147485269074
12	0.747147421268827	0.33149514563106786	36.69587449086335	0.7153398058252427	0.47604460980155044	0.40790489424116105	0.7168679453784828	30.04588430306314	0.7206	0.2843396320810351
13	0.7374106191997566	0.32962356792144015	32.00191089510781	0.6628477905073649	0.4806819136581654	0.44943646750038596	0.6635086844510927	27.588994013207017	0.7041666666666667	0.3087583263362219
14	0.8006998326487145	0.26062322946175626	34.71129040820318	0.667260218535006	0.5164142217299369	0.4461942257217848	0.6666117879486334	30.017178354406976	0.7011166666666667	0.31130696826885307
15	0.7611440742431158	0.30759351420773784	34.42321536885543	0.656285117996468	0.49712638185536007	0.45823683804230353	0.6550937245313773	30.181221404199974	0.7011	0.31742914143912043
16	0.7250874790810893	0.34221668742216677	31.761729488325837	0.6322955583229555	0.48175732151222206	0.4767639339200247	0.6326806212018905	27.07737447683186	0.6815833333333333	0.32823245939735557
17	0.7205233531112125	0.3461225816940333	32.09342914430754	0.6776133961957405	0.46877105095023125	0.4343060058669137	0.6786275320380322	27.243974948876303	0.7093666666666667	0.2994168058862152
18	0.7051574623459608	0.367519324248944	31.64341372024663	0.6937604590007171	0.45491860549663965	0.4211826462868612	0.6950607287449392	27.235000173214587	0.7233333333333334	0.2885235351816119
19	0.7287387798569908	0.3449872286079182	32.43738835600813	0.6944444444444443	0.4673787049733906	0.4218002161494519	0.6949825727486423	29.26677861386683	0.72115	0.292065214480573
20	0.7047010497489731	0.36791461146599813	30.30690523297568	0.6821379477642112	0.4557550465643794	0.42998301682877876	0.6825657894736841	26.877427387146177	0.7095166666666667	0.2968049004320322
21	0.6954206602768903	0.37618511971717805	31.372167136903773	0.7083400289249557	0.4462963322654999	0.4048170449282075	0.7086665578586583	28.58964966390387	0.7214	0.28339546852280934
22	0.7533850600943253	0.32553744389321987	34.60339836106594	0.6816284746830459	0.4846150608809953	0.43723946271421954	0.6815597725998879	29.367858030462603	0.72515	0.2984211142375588
23	0.7043967746843146	0.36861051115910726	30.6830769345693	0.6941844652427804	0.45301583420195296	0.41778601204261234	0.6957510764481273	26.819526218773575	0.7127166666666667	0.2895789092024734
24	0.6879659211927582	0.38125882906921976	31.111224048153606	0.7069533825145188	0.4431484608024683	0.3963254593175853	0.7089456869009583	27.597188616641084	0.7382666666666666	0.27560770507171384
